"Id_Loja","Departamento","Categoria","SubCategoria","Marca","Unidade","Volume","codigo_barra","Nome","dt_cadastro","dt_ultima_alteracao","vlr_produto","vlr_promocao","qtd_estoque_atual","qtd_estoque_minimo","Descricao","ativo","plu","vlr_compra","validade_proxima","qtd_atacado","image_url"
"201",MERCEARIA - SECA,ACUCAR,ACUCAR REFINADO,"",UN,"1",7896094914070,ADOC LIQ ADOC SUC 80ML,"03/08/2020","03/08/2020",6.97,0.00,100.0000,10.0000,ADOC LIQ ADOCYL SUCRALOSE 80ML,S,"1769901",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/7896094914070.png
"201",MERCEARIA - SECA,ACUCAR,ACUCAR REFINADO,"",UN,"1",7896094915046,ADOC LIQ ZERO CAL 80ML,"03/08/2020","03/08/2020",9.99,0.00,100.0000,12.0000,ADOC LIQ ZERO CAL STEVIA 80ML,S,"1769944",5.70,N,0,http://db.buzzer.com.br/middleware/imagens/7896094915046.png
"201",MERCEARIA - SECA,ACUCAR,ACUCAR REFINADO,"",UN,"1",7896094915176,ADOC PO ZERO CAL 40G,"03/08/2020","03/08/2020",8.27,0.00,100.0000,12.0000,ADOC PO ZERO CAL STEVIA 40G,S,"1769855",5.26,N,0,http://db.buzzer.com.br/middleware/imagens/7896094915176.png
"201",FRIOS/LATIC/CONGELADOS,BANHAS/GORDURAS,GORDURAS,"",UN,"1",7896096000849,GORDURA VEG MESA 500G,"03/08/2020","03/08/2020",9.76,0.00,100.0000,10.0000,GORDURA VEG MESA 500G,S,"1305930",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/7896096000849.png
"201",PERFUMARIA/HIG.PESSOAL,INFANTIL (TOUCADOR),SHAMPOO,"",UN,"1",7896098103883,SH OGG MOCINHA 200ML,"03/08/2020","03/08/2020",10.57,0.00,100.0000,10.0000,SH OGGI CHEIRO MOCINHA 200ML,S,"1546562",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/7896098103883.png
"201",PERFUMARIA/HIG.PESSOAL,INFANTIL (TOUCADOR),CREME PENTEAR,"",UN,"1",7896098103937,CR P OGGI MOCINHA 300G,"03/08/2020","03/08/2020",8.15,0.00,100.0000,10.0000,CR PENT OGGI CHEIRO MOCINHA 300G,S,"1546570",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/7896098103937.png
"201",PERFUMARIA/HIG.PESSOAL,INFANTIL (TOUCADOR),COLONIAS / LAVANDAS,"",UN,"1",7896098104651,COL OGG MENINO 118ML,"03/08/2020","03/08/2020",10.34,0.00,100.0000,10.0000,COL OGGI CHEIRINHO MENINO 118ML,S,"1546759",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/7896098104651.png
"201",PERFUMARIA/HIG.PESSOAL,DESODORANTES / SABONETES,COLONIAS,"",UN,"1",7896098200155,COL OGGI VERT 500ML,"03/08/2020","03/08/2020",21.72,0.00,100.0000,10.0000,DEO COL OGGI LAVANDER VERT 500ML,S,"1546864",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/7896098200155.png
"201",PERFUMARIA/HIG.PESSOAL,DESODORANTES / SABONETES,COLONIAS,"",UN,"1",7896098200162,COL OGGI ALFAZEM 118ML,"03/08/2020","03/08/2020",12.06,0.00,100.0000,10.0000,DEO COL OGGI ALFAZEMA 118ML,S,"1546856",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/7896098200162.png
"201",PERFUMARIA/HIG.PESSOAL,INFANTIL (TOUCADOR),COLONIAS / LAVANDAS,"",UN,"1",7896098454220,COL OGG MOCINHA 1L,"03/08/2020","03/08/2020",28.05,0.00,100.0000,10.0000,DEO COL OGGI CHEIRO MOCINHA 1L,S,"1546546",0.00,N,0,http://db.buzzer.com.br/middleware/imagens/7896098454220.png
